Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Date,Month,Year,YearMonth,Day
570679,47585A,PINK FAIRY CAKE CUSHION COVER,4,2011-10-11 15:26:00,3.75,17769.0,United Kingdom,15.0,2011-10-11,10,2011,2011-10,Tuesday
508180,20677,PINK SPOTTY BOWL,2,2010-05-13 12:14:00,1.25,15898.0,United Kingdom,2.5,2010-05-13,5,2010,2010-05,Thursday
553014,22383,LUNCH BAG SUKI DESIGN ,4,2011-05-12 18:49:00,1.65,13451.0,United Kingdom,6.6,2011-05-12,5,2011,2011-05,Thursday
509155,22386,JUMBO BAG PINK WITH WHITE SPOTS,5,2010-05-20 13:18:00,1.95,17758.0,United Kingdom,9.75,2010-05-20,5,2010,2010-05,Thursday
570499,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,2011-10-11 09:19:00,0.85,12772.0,Portugal,10.2,2011-10-11,10,2011,2011-10,Tuesday
562370,22603,CHRISTMAS RETROSPOT TREE WOOD,12,2011-08-04 14:20:00,0.85,12626.0,Germany,10.2,2011-08-04,8,2011,2011-08,Thursday
500356,90198B,VINTAGE ROSE BEAD BRACELET BLACK,1,2010-03-07 15:34:00,4.25,16984.0,United Kingdom,4.25,2010-03-07,3,2010,2010-03,Sunday
538664,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2010-12-13 15:46:00,0.95,14733.0,United Kingdom,22.8,2010-12-13,12,2010,2010-12,Monday
527459,21622,VINTAGE UNION JACK CUSHION COVER,4,2010-10-18 10:32:00,4.95,16069.0,United Kingdom,19.8,2010-10-18,10,2010,2010-10,Monday
517060,21915,RED  HARMONICA IN BOX ,48,2010-07-26 13:35:00,1.25,16553.0,United Kingdom,60.0,2010-07-26,7,2010,2010-07,Monday
528972,21213,PACK OF 72 SKULL CAKE CASES,480,2010-10-26 10:29:00,0.42,13027.0,United Kingdom,201.6,2010-10-26,10,2010,2010-10,Tuesday
489875,79160,HEART SHAPE WIRELESS DOORBELL,11,2009-12-02 15:41:00,2.1,17841.0,United Kingdom,23.1,2009-12-02,12,2009,2009-12,Wednesday
495510,84989B,75 BLACK FAIRY CAKE CASES,1,2010-01-25 14:01:00,0.55,17841.0,United Kingdom,0.55,2010-01-25,1,2010,2010-01,Monday
497954,85099F,JUMBO BAG STRAWBERRY,4,2010-02-15 12:50:00,1.95,16225.0,United Kingdom,7.8,2010-02-15,2,2010,2010-02,Monday
539098,22694,WICKER STAR ,12,2010-12-16 10:28:00,2.1,14841.0,United Kingdom,25.200000000000003,2010-12-16,12,2010,2010-12,Thursday
533128,21537,RED RETROSPOT PUDDING BOWL,4,2010-11-16 12:48:00,4.25,18236.0,United Kingdom,17.0,2010-11-16,11,2010,2010-11,Tuesday
547947,21930,JUMBO STORAGE BAG SKULLS,100,2011-03-28 15:03:00,1.65,15032.0,United Kingdom,165.0,2011-03-28,3,2011,2011-03,Monday
536971,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,2010-12-03 13:40:00,8.5,12779.0,Poland,34.0,2010-12-03,12,2010,2010-12,Friday
543802,20983,12 PENCILS TALL TUBE RED RETROSPOT,1,2011-02-13 12:03:00,0.85,13742.0,United Kingdom,0.85,2011-02-13,2,2011,2011-02,Sunday
565665,37448,CERAMIC CAKE DESIGN SPOTTED MUG,5,2011-09-05 17:44:00,1.49,15856.0,United Kingdom,7.45,2011-09-05,9,2011,2011-09,Monday
565451,22617,BAKING SET SPACEBOY DESIGN,3,2011-09-04 15:37:00,4.95,15365.0,United Kingdom,14.85,2011-09-04,9,2011,2011-09,Sunday
533755,21716,BOYS VINTAGE TIN SEASIDE BUCKET,1,2010-11-18 14:25:00,2.55,15571.0,United Kingdom,2.55,2010-11-18,11,2010,2010-11,Thursday
576593,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-11-15 14:48:00,9.95,15720.0,United Kingdom,9.95,2011-11-15,11,2011,2011-11,Tuesday
518281,21415,CLAM SHELL SMALL ,12,2010-08-06 10:29:00,2.1,14918.0,United Kingdom,25.200000000000003,2010-08-06,8,2010,2010-08,Friday
491508,21668,RED STRIPE CERAMIC DRAWER KNOB,18,2009-12-11 12:24:00,1.25,16191.0,United Kingdom,22.5,2009-12-11,12,2009,2009-12,Friday
545835,47504K,ENGLISH ROSE GARDEN SECATEURS,2,2011-03-07 13:17:00,1.95,17654.0,United Kingdom,3.9,2011-03-07,3,2011,2011-03,Monday
512709,22329,ROUND CONTAINER SET OF 5 RETROSPOT,1,2010-06-17 12:21:00,1.65,16115.0,United Kingdom,1.65,2010-06-17,6,2010,2010-06,Thursday
575213,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2011-11-09 10:47:00,2.1,16210.0,United Kingdom,100.8,2011-11-09,11,2011,2011-11,Wednesday
568423,20749,ASSORTED COLOUR MINI CASES,4,2011-09-27 11:24:00,7.95,17061.0,United Kingdom,31.8,2011-09-27,9,2011,2011-09,Tuesday
564863,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,2011-08-31 10:30:00,0.83,15491.0,United Kingdom,9.96,2011-08-31,8,2011,2011-08,Wednesday
540546,20985,HEART CALCULATOR,12,2011-01-09 15:56:00,1.25,12766.0,Portugal,15.0,2011-01-09,1,2011,2011-01,Sunday
509410,84991,60 TEATIME FAIRY CAKE CASES,6,2010-05-23 12:07:00,0.55,17769.0,United Kingdom,3.3000000000000003,2010-05-23,5,2010,2010-05,Sunday
540249,22046,TEA PARTY  WRAPPING PAPER ,25,2011-01-05 16:00:00,0.42,15298.0,United Kingdom,10.5,2011-01-05,1,2011,2011-01,Wednesday
531027,84030E,ENGLISH ROSE HOT WATER BOTTLE,10,2010-11-05 11:49:00,4.25,13118.0,United Kingdom,42.5,2010-11-05,11,2010,2010-11,Friday
542398,84800M,MEDIUM WHITE/PINK ROSE ART FLOWER,12,2011-01-27 15:36:00,1.69,13174.0,United Kingdom,20.28,2011-01-27,1,2011,2011-01,Thursday
