Description,mean,std,Safety_Stock,Reorder_Point,ABC,Strategy,Risk
  DOORMAT UNION JACK GUNS AND ROSES,7.041666666666667,7.86560573784298,34.33722054380513,83.6288872104718,C,"Low Priority → Low stock, minimal monitoring",High Risk
 3 STRIPEY MICE FELTCRAFT,11.23728813559322,14.23974402018428,62.163455327534095,140.82447227668663,C,"Low Priority → Low stock, minimal monitoring",High Risk
 4 PURPLE FLOCK DINNER CANDLES,7.7272727272727275,11.073462172330276,48.341084649770515,102.43199374067962,C,"Low Priority → Low stock, minimal monitoring",High Risk
 50'S CHRISTMAS GIFT BAG LARGE,31.416666666666668,55.502112241579034,242.29389727951946,462.21056394618614,B,"Medium Priority → Moderate stock, weekly review",High Risk
 ANIMAL STICKERS,32.083333333333336,11.758620306615548,51.33213540268902,275.9154687360224,C,"Low Priority → Low stock, minimal monitoring",Low Risk
 BLACK PIRATE TREASURE CHEST,5.222222222222222,3.2317865716108862,14.108330872218728,50.66388642777429,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
 BROWN  PIRATE TREASURE CHEST ,6.0,4.0,17.461958653026297,59.4619586530263,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
 Bank Charges,1.0,0.0,0.0,7.0,C,"Low Priority → Low stock, minimal monitoring",Low Risk
 CAMPHOR WOOD PORTOBELLO MUSHROOM,6.142857142857143,3.9339789623472154,17.173744495595592,60.17374449559559,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
 CHERRY BLOSSOM  DECORATIVE FLASK,12.833333333333334,41.0838661517026,179.35119301187436,269.1845263452077,C,"Low Priority → Low stock, minimal monitoring",High Risk
 DOLLY GIRL BEAKER,28.89156626506024,71.30610962230456,311.2860844832107,513.5270483386323,B,"Medium Priority → Moderate stock, weekly review",High Risk
 FAIRY CAKE CANDLES,76.5,44.54772721475249,194.47264267757558,729.9726426775755,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
 FLAMINGO LIGHTS,10.151515151515152,11.214168527250504,48.95533678772927,120.01594284833533,C,"Low Priority → Low stock, minimal monitoring",High Risk
 HOME SWEET HOME  BLACKBOARD,4.5,4.5628938186199335,19.919265799722638,51.41926579972264,C,"Low Priority → Low stock, minimal monitoring",High Risk
 I LOVE LONDON MINI BACKPACK,8.181818181818182,11.965595500730565,52.23568347314866,109.50841074587593,C,"Low Priority → Low stock, minimal monitoring",High Risk
 I LOVE LONDON MINI RUCKSACK,1.0,,,,C,"Low Priority → Low stock, minimal monitoring",Low Risk
 IVORY PAPER CUP CAKE CASES ,54.57142857142857,104.48472205474418,456.126974098222,838.126974098222,C,"Low Priority → Low stock, minimal monitoring",High Risk
 LARGE SKULL WINDMILL,4.0,2.8284271247461903,12.347469376354006,40.347469376354006,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
 NEW BAROQUE BLACK BOXES,2.0,1.0,4.365489663256574,18.365489663256575,C,"Low Priority → Low stock, minimal monitoring",Low Risk
 NINE DRAWER OFFICE TIDY,2.2916666666666665,1.7315277663950703,7.558966565839424,23.600633232506087,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
 OVAL WALL MIRROR DIAMANTE ,2.274193548387097,3.073788471655505,13.418591800049331,29.33794663875901,C,"Low Priority → Low stock, minimal monitoring",High Risk
 PAINT YOUR OWN CANVAS SET,40.0,78.99367063252599,344.8460526089866,624.8460526089866,C,"Low Priority → Low stock, minimal monitoring",High Risk
 PEACE WOODEN BLOCK LETTERS,4.925925925925926,3.901931729934703,17.033842633762788,51.51532411524427,C,"Low Priority → Low stock, minimal monitoring",Medium Risk
 RED SPOT GIFT BAG LARGE,32.075471698113205,59.62409459290114,260.28836862634216,484.81667051313457,B,"Medium Priority → Moderate stock, weekly review",High Risk
 RED/WHITE DOT MINI CASES,7.603174603174603,8.434834993777164,36.822184976609044,90.04440719883127,B,"Medium Priority → Moderate stock, weekly review",High Risk
 RIDGED GLASS T-LIGHT HOLDER,94.0,155.04837954651444,676.8620982149909,1334.862098214991,C,"Low Priority → Low stock, minimal monitoring",High Risk
 SET 2 TEA TOWELS I LOVE LONDON ,24.818791946308725,56.58956709444021,247.04117019894312,420.7727138231042,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
 SET Of 6 SOLDIER SKITTLES,5.333333333333333,2.309401076758503,10.081666528902847,47.41499986223617,C,"Low Priority → Low stock, minimal monitoring",Low Risk
 SILVER CHERRY LIGHTS,13.2,31.53210561016385,137.65308110188494,230.0530811018849,C,"Low Priority → Low stock, minimal monitoring",High Risk
 SILVER T-LIGHT SETTING,2.8461538461538463,2.9957234475763905,13.077799744370083,33.000876667447,C,"Low Priority → Low stock, minimal monitoring",High Risk
 SPACEBOY BABY GIFT SET,4.166666666666667,5.680759459560243,24.799296700157246,53.965963366823914,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
 STAR  T-LIGHT HOLDER ,5.0,5.228129047119374,22.823343313371073,57.82334331337107,C,"Low Priority → Low stock, minimal monitoring",High Risk
 TOADSTOOL BEDSIDE LIGHT ,2.0,,,,C,"Low Priority → Low stock, minimal monitoring",Low Risk
 TRELLIS COAT RACK,5.864864864864865,8.94166950034799,39.03476577602573,80.08881983007979,C,"Low Priority → Low stock, minimal monitoring",High Risk
 VINTAGE DESIGN GIFT TAGS,61.0,28.647280266487194,125.05940588376389,552.0594058837639,C,"Low Priority → Low stock, minimal monitoring",Low Risk
 WHITE BAMBOO RIBS LAMPSHADE,35.0,54.75399528801528,239.0280004518299,484.02800045182994,C,"Low Priority → Low stock, minimal monitoring",High Risk
 WHITE CHERRY LIGHTS,28.37142857142857,32.40959395824486,141.48374741506066,340.08374741506066,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
10 COLOUR SPACEBOY PEN,44.507246376811594,46.659267246993394,203.6905488618757,515.2412734995569,A,"High Priority → Maintain high stock, frequent monitoring",High Risk
11 PC CERAMIC TEA SET POLKADOT,3.0,,,,C,"Low Priority → Low stock, minimal monitoring",Low Risk
